meanBER_cc,meanPER_cc,SNRpercomm_cc,meanAWGN_POWER_cc,meanUP_LOSS_cc,meanDOWN_LOSS_cc,meanTEMPERATURE_cc,meanWV_DENSITY_cc,meanUP_THERMAL_POWER_cc,meanDW_THERMAL_POWER_cc
0,0,21.755,29566,43.375,41.801,288.83,0.007648,3.3621e-11,2.7296e-11
0,0,13.08,4.2841e+05,41.932,40.113,296.35,0.0070402,3.6112e-11,3.0784e-11
0,0,15.102,56043,44.822,43.684,281.03,0.0030962,2.9748e-11,3.1309e-11
0.0025773,0.33333,5.9086,2.8599e+06,42.227,39.851,296.65,0.011169,2.7929e-11,2.762e-11
0,0,24.761,18710,42.622,42.189,289.98,0.010936,3.4615e-11,3.0481e-11
0,0,23.597,33241,42.843,42.409,289.14,0.00924,3.5268e-11,2.7974e-11
0,0,24.565,13864,42.2,43.734,287.12,0.0069555,3.259e-11,2.7647e-11
0,0,15.027,2.0508e+05,43.194,41.557,289.97,0.004313,3.1718e-11,2.9517e-11
0,0,9.6981,2.8516e+05,42.555,44.225,285.09,0.0072675,2.9592e-11,3.2227e-11
0,0,13.242,2.2561e+05,41.284,44.756,287.51,0.010091,3.2009e-11,2.9344e-11
0,0,22.302,39841,44.307,39.16,293.46,0.012236,3.1935e-11,2.8154e-11
0,0,13.903,1.4673e+05,44.493,41.544,287.2,0.0024082,3.2004e-11,2.9205e-11
0,0,24.297,16533,42.998,42.374,288.4,0.0075933,3.1148e-11,3.0522e-11
0,0,11.987,5.8163e+05,40.594,41.496,296.25,0.007625,3.8921e-11,3.208e-11
0,0,15.52,96060,42.988,42.707,287.53,0.0058158,3.0276e-11,2.861e-11
0,0,11.805,5.3613e+05,40.04,42.109,296.17,0.0087987,3.6066e-11,3.1871e-11
0,0,10.139,7.9412e+05,40.464,41.816,295.78,0.0076092,2.7919e-11,2.7967e-11
0,0,17.956,60697,42.716,43.075,287.35,0.0044608,3.1959e-11,2.6769e-11
0,0,16.963,1.2364e+05,42.268,41.891,291.4,0.0085463,3.3615e-11,2.9129e-11
0,0,14.328,2.3553e+05,43.133,40.127,293.59,0.0097696,3.9863e-11,3.5046e-11
0,0,24.934,17459,43.362,41.305,290.22,0.0045118,2.9394e-11,2.9597e-11
0,0,21.413,42016,42.052,42.7,290.09,0.0057208,3.0642e-11,3.1507e-11
0,0,8.094,1.3128e+06,43.118,41.952,289.59,0.0076152,2.8937e-11,3.3887e-11
0,0,9.3674,4.6322e+05,44.589,42.188,285.4,0.0028908,3.3391e-11,2.641e-11
0,0,8.0827,8.5605e+05,45.076,38.842,292.49,0.011792,2.9559e-11,2.9491e-11
0,0,23.066,37173,41.938,41.384,293.3,0.0089661,2.9848e-11,3.2214e-11
0,0,20.766,39711,42.02,43.052,289.27,0.0059153,3.6453e-11,3.2203e-11
0.0025773,0.33333,6.0593,1.5387e+06,41.297,42.975,291.11,0.0080611,3.2478e-11,3.1979e-11
0,0,13.241,3.5347e+05,41.577,41.643,293.69,0.0060866,3.5053e-11,2.6293e-11
0,0,9.5594,8.0777e+05,40.995,42.056,294.13,0.011359,3.1391e-11,2.594e-11
0,0,16.445,1.5615e+05,42.101,41.938,291.73,0.007466,3.2674e-11,2.9694e-11
0,0,12.292,3.3992e+05,41.186,42.859,291.57,0.006496,3.5143e-11,2.8668e-11
0,0,14.778,1.2634e+05,45.912,40.482,286.7,0.0040631,3.2122e-11,2.8567e-11
0,0,24.247,9782.9,43.93,43.186,284.3,0.0058508,3.5163e-11,2.7465e-11
0,0,8.1901,6.293e+05,43.65,41.694,288.6,0.007453,3.1338e-11,2.6781e-11
0,0,9.9095,7.5259e+05,41.023,42.039,294,0.011658,3.1295e-11,2.5629e-11
0,0,24.551,19102,40.949,42.723,292.33,0.008827,3.0615e-11,3.0174e-11
0,0,10.831,4.3397e+05,41.171,42.693,292.63,0.011824,3.2659e-11,2.8398e-11
0,0,13.341,2.4333e+05,41.614,43.243,289.68,0.0066604,3.6044e-11,2.839e-11
0,0,23.762,10133,43.011,44.356,283.82,0.0082155,3.6809e-11,2.9288e-11
0.0051546,0.33333,6.5026,2.1194e+06,39.453,42.189,297.67,0.013508,2.9572e-11,3.0627e-11
0,0,11.428,6.6381e+05,41.098,40.302,297.88,0.0077681,3.3216e-11,3.0193e-11
0,0,16.813,80920,44.826,41.796,285.7,0.0040423,3.5067e-11,3.513e-11
0,0,22.096,25687,42.999,41.92,289.72,0.0080896,3.2373e-11,3.4159e-11
0,0,16.486,93690,43.087,41.772,289.81,0.0092385,3.0544e-11,3.422e-11
0,0,14.532,80371,44.377,43.529,282.68,0.0047971,3.0197e-11,3.0477e-11
0,0,18.642,41161,44.021,43.087,284.43,0.0049088,3.275e-11,3.3527e-11
